entity	title	definition	example_technologies
TX04.4	Human and Robot Interaction	Human and robot system interaction is crucial for future space exploration and must be effective, efficient, and natural. Space exploration requires human and system interaction across multiple spatial ranges, in the presence of multiple control loops, and over a wide range of time delays. A robot may be remotely operated by an astronaut in close proximity, by an astronaut in-orbit above a planetary surface, or by mission controllers on Earth with progressive reductions in situational awareness and response time. The ultimate efficacy of robotic systems depends greatly on the interfaces that humans use to operate the interfaces.	
TX04.4.1	Multimodal and Proximate Interaction	Multimodal interaction allows for humans to interact with robots using multiple modes of communication (e.g., voice and gesture recognition). Proximate interaction allows for humans to interact side by side with a robot. Technologies to assist in these interactions can enable humans to safely and efficiently control a larger number of robotic and autonomous assets, reducing overall demands on astronauts' time for future exploration missions.	Virtual environment (VE), multi-modal dialogue, robot-to-suit interfaces, intent recognition and reaction, feedback displays for proximate interaction
TX04.4.2	Distributed Collaboration and Coordination	Distributed collaboration and coordination provides a distributed system that is capable of managing control and telemetry information among heterogeneous agents and that offers more effective interaction between humans and machines, reducing overall demands on astronauts' time for future missions.	Interaction architecture, in-line performance metrics, notification and summarization
TX04.4.3	Remote Interaction	Remote interaction allows supervisory control of complex remote systems across a space in the presence of varying communication latencies, bandwidths, and dropouts.	Supervisory control, decision support tools for remote interaction
TX04.5	Autonomous Rendezvous and Docking	Autonomous rendezvous and docking (AR&D) enables future human and robotic missions. The goal is to provide a robust, safe AR&D capability for human and robotic systems that reduces the reliance on human interaction.	
TX04.5.1	Relative Navigation Sensors	Relative navigation sensors improve detector sensitivity, reliability, field of view, and performance, thus permitting two vehicles to rendezvous, perform proximity operations, and dock and capture anywhere in the solar system, independent of communications with the ground.	3D imaging sensor, visible camera, longwave infrared (LWIR) camera
TX04.5.2	Rendezvous and Docking Algorithms	Rendezvous and docking algorithms are independent of gravity fields and provide more robust and flexible software at lower a cost to address a wider range of future missions that require AR&D.	Rendezvous targeting, proximity operations/capture/docking guidance
TX04.5.3	Rendezvous, Proximity Operations, and Capture Flight and Ground Systems	Rendezvous, proximity operations, and capture (RPOC) flight and ground systems include tools and techniques for RPOC system architectures, requirements, and specifications; fault management and fault tolerance; development of standards; operations tools and best practices; and other system support functions related to RPOC.	Cislunar module aggregation/assembly flight system RPOC architecture; large telescope assembly aggregation/servicing flight system RPOC architecture; gateway visiting vehicles RPOC monitoring architecture; Lunar/Mars sample return RPOC architecture; Lunar/Mars surface docking architecture; precision formation flying architecture; robotic grapple and berth (Low Earth Orbit (LEO), Beyond LEO, Crew Assisted, Autonomous); small sat inspection of large assets; legacy vehicle servicing RPOC architecture; orbit debris remediation; Cislunar/Mars RPOC ground/mission system architecture
TX04.5.4	Capture Sensors	Capture sensors, which include force, moment, strain, contact, and proximity sensors, sense close proximity to or contact with spacecraft or natural objects during capture.	Robot arm force moment sensor, robotic tool contact sensors, robot close proximity sensors, docking and berthing contact sensors
TX04.5.5	Capture Mechanisms and Fixtures	Technologies that enable a spacecraft to affect capture and release of another spacecraft or natural space object (small body) include robotic manipulators and tools for grapple, small-body sampling systems, orbiting-sample collection systems, orbit-debris capture systems, and any other systems used to affect capture of an object. Additionally, these technologies can include systems that are specifically designed to facilitate capture, such as passive grappling. Note: The docking and berthing aspect of mechanism fixtures is captured in TX12.3.8: Docking and Berthing Mechanisms and Fixtures.	Dexterous / long reach robotics, grapple tools (cooperative, Marman Ring, Rock, Sample Canister), other grippers, touch and go sampling mechanism, sample canister retrieval mechanism, orbiting sample capture mechanism, harpoon, net, passive grapple
TX04.5.6	Robot Control for Vehicle Capture and Berthing	Robot control technologies primarily constitute the development of robust, reliable, and computationally efficient mathematical algorithms and processes for the functions of autonomous real-time control of robotic manipulators to meet mission requirements.	Robotic manipulator capture of free-flying spacecraft, robotic manipulator positioning of grappled vehicle for berthing (both with low mass ratio and high mass ratio between captured and capturing vehicles)
TX04.5.7	Modeling, Simulation, Analysis, and Testing of Rendezvous, Proximity Operations, and Capture	This area includes technologies and techniques for developing advanced software tools to model, simulate, and analyze the dynamic response of space vehicles, robotic manipulators, and other capture systems to forces exerted by actuators (e.g., thrusters, wheels, motors), the environment, or an active spacecraft on a nearby object (contact dynamics, thruster plume impingement). Also included are technologies for the development of modern ground-based guidance, navigation, and control (GN&C) and robotic and capture motion simulation testbeds.	Multi-vehicle closed loop hi-fidelity attitude and orbit simulation; capture contact dynamics; flexible modes analysis; finite element modeling (FEM) analysis; proximity operations thruster plume impingement modeling and analysis; robotic manipulator kinematic simulation (reach and access, etc.); robotic manipulator high fidelity dynamics simulation of capture and berthing; relative navigation sensor hardware-in-the-loop (HWIL) testing of vehicle and small body proximity operations; grapple, berthing, docking, and small body contact (Touch-and-Go (TAG)/landing) HWIL testing with high fidelity 6DOF motion and contact dynamics; high fidelity synthetic image generation for testing of vehicle- and terrain-relative pose/nav estimation systems
